Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross income,Rating
532-14-1488,C,Mandalay,Normal,Male,Health and beauty,21.16,4,4.23,88.87,03/11/2019,11:37,Ewallet,84.64,4.23,4.6
703-45-1106,A,Yangon,Member,Male,Electronic accessories,72.28,4,14.46,303.58,02/23/2019,13:28,Credit card,289.12,14.46,8.2
199-55-6635,A,Yangon,Normal,Female,Fashion accessories,25.23,3,3.78,79.47,01/14/2019,11:24,Cash,75.69,3.78,8.6
743-89-6925,C,Mandalay,Normal,Male,Home and lifestyle,83.04,2,8.3,174.38,03/12/2019,14:53,Credit card,166.08,8.3,6.3
384-68-6977,C,Mandalay,Member,Male,Electronic accessories,76.85,4,15.37,322.77,01/30/2019,11:24,Credit card,307.4,15.37,9.9
275-78-5010,A,Yangon,Member,Female,Home and lifestyle,63.23,5,15.81,331.96,01/10/2019,19:40,Credit card,316.15,15.81,8.1
132-50-7572,A,Yangon,Normal,Female,Sports and travel,25.37,9,11.42,239.75,01/08/2019,13:52,Credit card,228.33,11.42,5.9
242-41-9830,B,Naypyitaw,Normal,Male,Health and beauty,41.65,8,16.66,349.86,02/28/2019,12:16,Ewallet,333.2,16.66,9.5
148-24-3504,B,Naypyitaw,Normal,Female,Fashion accessories,87.79,4,17.56,368.72,03/05/2019,11:48,Cash,351.16,17.56,4.8
111-97-2876,C,Mandalay,Member,Female,Electronic accessories,62.67,7,21.93,460.62,02/02/2019,18:55,Cash,438.69,21.93,6.8
282-74-2743,C,Mandalay,Normal,Female,Food and beverages,28.91,5,7.23,151.78,02/03/2019,18:48,Ewallet,144.55,7.23,6.7
431-72-1319,C,Mandalay,Member,Male,Home and lifestyle,51.37,3,7.71,161.82,03/09/2019,10:38,Cash,154.11,7.71,8.7
170-78-3060,A,Yangon,Member,Female,Home and lifestyle,76.09,4,15.22,319.58,01/11/2019,17:52,Ewallet,304.36,15.22,9.7
847-98-4295,A,Yangon,Member,Female,Fashion accessories,77.79,9,35.01,735.12,01/28/2019,18:48,Cash,700.11,35.01,6.5
702-80-4770,C,Mandalay,Normal,Female,Home and lifestyle,44.96,9,20.23,424.87,01/09/2019,15:01,Cash,404.64,20.23,5.5
343-45-8953,C,Mandalay,Member,Male,Electronic accessories,33.32,1,1.67,34.99,02/12/2019,11:32,Credit card,33.32,1.67,9.4
462-64-7735,A,Yangon,Normal,Male,Food and beverages,49.41,8,19.76,415.04,01/13/2019,20:27,Ewallet,395.28,19.76,5.1
294-78-8350,B,Naypyitaw,Member,Male,Fashion accessories,66.26,7,23.19,487.01,01/14/2019,13:12,Ewallet,463.82,23.19,8.8
767-79-1241,A,Yangon,Normal,Male,Sports and travel,71.21,4,14.24,299.08,03/12/2019,11:03,Cash,284.84,14.24,4.5
102-59-5345,A,Yangon,Normal,Male,Electronic accessories,32.1,8,12.84,269.64,01/08/2019,12:24,Cash,256.8,12.84,6.4
865-50-1936,B,Naypyitaw,Normal,Female,Home and lifestyle,33.66,4,6.73,141.37,03/16/2019,18:03,Ewallet,134.64,6.73,9.8
982-40-7615,A,Yangon,Member,Female,Food and beverages,9.41,9,4.23,88.92,03/18/2019,11:43,Ewallet,84.69,4.23,5.1
